Station,District,BuiltDate
672,동대문구,2020-03-27
673,동대문구,2020-03-28
674,동대문구,2020-03-30
675,동대문구,2020-04-16
676,동대문구,2020-03-28
677,동대문구,2020-04-19
678,동대문구,2020-04-26
679,동대문구,2020-04-16
680,동대문구,2020-04-19
681,동대문구,2020-04-19
4102,동대문구,2020-09-18
4103,동대문구,2020-09-18
4104,동대문구,2020-09-18
4105,동대문구,2020-09-18
4107,동대문구,2020-09-18
4108,동대문구,2020-09-18
4110,동대문구,2020-09-21
4112,동대문구,2020-09-17
4113,동대문구,2020-09-17
4116,동대문구,2020-09-18
4117,동대문구,2020-09-21
4121,동대문구,2020-09-21
4122,동대문구,2020-09-21
4123,동대문구,2020-09-18
1401,중랑구,2017-04-26
1402,중랑구,2017-04-26
1403,중랑구,2017-04-26
1404,중랑구,2017-05-02
1405,중랑구,2017-04-26
1406,중랑구,2017-04-26
1407,중랑구,2017-06-22
1408,중랑구,2017-04-26
1410,중랑구,2017-04-26
1411,중랑구,2017-06-27
1412,중랑구,2017-04-26
1413,중랑구,2017-04-26
1414,중랑구,2017-06-22
1416,중랑구,2017-06-22
1418,중랑구,2017-04-26
1420,중랑구,2017-04-26
1421,중랑구,2017-04-26
1422,중랑구,2017-04-26
1424,중랑구,2017-04-26
1425,중랑구,2017-04-26
1426,중랑구,2017-04-26
1427,중랑구,2017-06-22
1428,중랑구,2017-06-22
1429,중랑구,2017-06-22
1430,중랑구,2017-06-22
1431,중랑구,2017-06-22
1433,중랑구,2017-06-22
1434,중랑구,2017-04-26
1435,중랑구,2017-04-26
1436,중랑구,2017-04-26
1437,중랑구,2017-04-26
1438,중랑구,2017-04-26
1440,중랑구,2017-08-01
1441,중랑구,2017-04-26
1442,중랑구,2017-11-01
1443,중랑구,2017-11-01
1444,중랑구,2017-11-01
1445,중랑구,2017-11-01
1446,중랑구,2017-11-01
1447,중랑구,2017-11-01
1448,중랑구,2017-11-01
1449,중랑구,2017-11-28
1450,중랑구,2017-11-28
1451,중랑구,2017-11-28
1452,중랑구,2017-11-29
1453,중랑구,2017-12-22
1454,중랑구,2017-12-22
1455,중랑구,2018-02-13
1456,중랑구,2018-02-26
1457,중랑구,2018-02-26
1458,중랑구,2018-11-02
1459,중랑구,2018-10-29
1461,중랑구,2020-04-21
1462,중랑구,2020-05-05
1463,중랑구,2020-04-30
1464,중랑구,2020-04-21
1465,중랑구,2020-04-14
1466,중랑구,2020-04-14
1467,중랑구,2020-04-14
1468,중랑구,2020-04-21
1469,중랑구,2020-04-21
1470,중랑구,2020-04-20
1471,중랑구,2020-06-18
1472,중랑구,2020-04-20
1473,중랑구,2020-04-21
1474,중랑구,2020-05-05
1477,중랑구,2020-04-14
